contigName	contigLen	totalAvgDepth	scaffolds.fasta/DRR310871_R1.fastq.gz.bam	scaffolds.fasta/DRR310871_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310872_R1.fastq.gz.bam	scaffolds.fasta/DRR310872_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310873_R1.fastq.gz.bam	scaffolds.fasta/DRR310873_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310874_R1.fastq.gz.bam	scaffolds.fasta/DRR310874_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310875_R1.fastq.gz.bam	scaffolds.fasta/DRR310875_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310876_R1.fastq.gz.bam	scaffolds.fasta/DRR310876_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310877_R1.fastq.gz.bam	scaffolds.fasta/DRR310877_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310878_R1.fastq.gz.bam	scaffolds.fasta/DRR310878_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310879_R1.fastq.gz.bam	scaffolds.fasta/DRR310879_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310880_R1.fastq.gz.bam	scaffolds.fasta/DRR310880_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310881_R1.fastq.gz.bam	scaffolds.fasta/DRR310881_R1.fastq.gz.bam-var	scaffolds.fasta/DRR310882_R1.fastq.gz.bam	scaffolds.fasta/DRR310882_R1.fastq.gz.bam-var
NODE_242_length_9188_cov_4.320267	9188	10.9103	8.2534	11.9803	0.1957	1.6223	23.3804	47.2896	0.2678	1.0322	3.9148	23.642	6.5849	8.6416	0.2391	1.0741	76.2627	237.3937	9.2472	15.7145	1.9422	5.0499	0.27	3.0157	0.3657	2.8432
NODE_243_length_9183_cov_19.943361	9183	5.7994	41.9979	273.9362	0.4495	1.3163	7.8399	24.8098	0.6778	3.1958	2.2361	6.7962	3.8482	19.0475	2.9214	13.2622	0.3075	1.9486	1.9163	8.927	0.7539	3.7028	1.3093	15.1018	5.335	27.9748
NODE_244_length_9179_cov_15.408812	9179	5.561	35.4936	203.2359	0.5455	2.7435	4.0715	21.0888	0.9332	4.917	1.6023	18.1483	5.9792	21.0616	4.0875	17.8229	0.3451	2.2726	1.6484	10.3891	1.2402	14.8434	2.222	56.0152	8.5634	34.5185
NODE_245_length_9152_cov_23.278334	9152	7.1094	47.8884	349.9451	0.4797	1.1675	7.158	29.3722	0.6354	3.5107	5.3776	333.5471	4.9117	21.4515	4.8186	20.2563	0.6749	24.251	2.6524	11.1045	0.8977	7.9088	1.9918	44.1097	7.8268	48.357
NODE_246_length_9120_cov_8.217099	9120	1.5041	14.9644	27.0436	0.2674	1.7682	0.5754	22.3173	0.2014	0.581	0.0428	0.1685	0.2945	1.0476	0.4135	1.5519	0.0339	0.1175	0.3703	1.0273	0.2632	0.6698	0.3064	1.3536	0.3157	1.7821
NODE_247_length_9066_cov_7.908778	9066	9.3701	16.9026	45.5371	4.7423	23.3658	7.5938	26.5212	3.0298	10.492	21.448	127.9178	12.145	34.2052	10.6069	30.5249	2.671	8.1954	14.1857	21.0852	6.8587	16.5532	5.1304	10.2696	7.1265	27.8577
NODE_248_length_9048_cov_7.025464	9048	7.2041	13.8202	38.8484	4.1224	64.8409	6.6959	49.9325	0.8909	70.11	4.9363	32.5378	10.1164	132.6152	9.3972	67.8465	10.6061	101.2805	12.7715	126.1477	10.9793	85.4261	0.1886	0.9261	1.9239	6.1245
NODE_249_length_9022_cov_10.253485	9022	4.0683	26.1273	116.539	0.6161	3.3758	5.7418	12.966	0.9885	4.8162	6.4797	31.7689	1.0067	5.4089	1.6629	8.7835	0.4005	3.8239	1.1506	6.462	1.1029	9.4462	2.1601	25.0081	1.3822	9.3118
NODE_250_length_9020_cov_14.365198	9020	5.3202	32.4973	219.8676	0.605	1.7972	7.2284	23.3536	0.9241	4.9911	4.8277	24.6568	4.4781	12.8544	2.6007	7.5368	0.3546	4.575	2.224	7.5905	0.8188	4.7865	1.5006	16.803	5.7834	26.6924
NODE_251_length_8930_cov_8.929690	8930	3.1664	24.6702	117.2178	0.6259	3.1145	1.2141	8.1432	1.1965	7.3348	0.8027	13.2667	1.3185	8.1628	1.5858	9.446	0.4835	4.3616	1.1884	6.8077	1.0581	7.5143	2.5528	93.8606	1.3001	6.9316
NODE_252_length_8906_cov_15.482996	8906	5.1212	35.467	281.5792	0.6184	2.4644	3.2396	15.2979	0.8228	4.9047	4.2462	28.7862	3.605	14.6278	2.5146	11.406	1.216	281.429	2.064	7.552	0.8917	5.3411	1.7099	17.5855	5.0594	40.1815
NODE_253_length_8758_cov_6.415144	8758	5.801	12.6719	22.9057	4.242	16.539	3.198	19.1471	0.3485	1.3708	7.0527	77.0366	5.6825	24.3155	6.8898	28.8201	8.7208	78.6892	11.1422	70.9671	7.34	37.9932	0.2435	1.3084	2.0802	6.2022
NODE_254_length_8754_cov_15.031958	8754	5.7571	39.1354	296.5009	0.6803	2.9301	5.7744	16.2991	0.978	6.2007	4.727	27.5487	3.4514	12.5485	2.5984	10.5519	0.7158	7.5276	2.3281	12.1979	1.1824	10.2893	2.0775	24.4163	5.4369	28.6315
NODE_255_length_8734_cov_18.677152	8734	6.0663	39.5734	156.0168	0.6904	2.6656	4.0882	14.1114	0.9459	4.3503	4.4907	15.3652	5.4899	20.0582	3.7081	12.0681	0.8103	9.7212	3.522	13.5365	1.0927	7.8863	2.213	26.4969	6.171	24.6437
NODE_256_length_8727_cov_15.311808	8727	5.2831	36.0583	328.3678	0.6935	2.4173	6.5269	28.6835	1.0034	5.3681	3.161	25.4131	3.5762	20.3499	2.8993	10.4453	0.5396	7.6202	2.6744	11.7772	0.867	4.2334	1.6166	15.3451	3.7809	24.7285
NODE_257_length_8678_cov_11.653369	8678	1.9467	19.0258	47.6128	0.2302	0.954	0.314	6.947	0.4746	2.1009	0.186	1.1705	0.4608	1.7032	0.4918	1.8346	0.1828	1.3015	0.4751	1.9773	0.5043	2.7435	0.5521	3.0605	0.4632	2.5719
NODE_258_length_8647_cov_7.383613	8647	6.8447	14.3804	30.7221	3.491	10.7966	6.1689	21.5246	0.2936	1.3583	5.4677	22.4173	8.8843	43.954	8.9127	44.3761	8.3167	57.719	12.6117	58.9897	11.2178	58.9239	0.2855	2.7994	2.1056	5.3426
NODE_259_length_8632_cov_18.542148	8632	4.3778	33.0269	563.7075	0.3423	1.0064	7.2901	21.3726	0.9122	6.306	2.6567	17.7675	1.0677	5.7311	1.2887	16.6011	0.5124	11.4391	0.9515	9.3882	0.9598	15.7568	2.3246	202.4183	1.2008	20.1511
NODE_260_length_8630_cov_6.531778	8630	2.616	12.0129	17.6815	1.8685	7.3929	1.186	7.0871	0.515	1.9741	1.3459	11.4545	2.0627	11.5722	2.0012	12.5741	2.0895	21.087	4.9717	28.1551	2.2824	15.4267	0.3624	2.5802	0.6941	3.8109
NODE_261_length_8621_cov_23.375204	8621	8.2345	51.3846	290.6778	0.6732	4.3572	7.9607	81.2685	0.8258	5.8948	7.0635	30.6668	5.5094	17.8509	6.4629	36.2668	0.143	0.5957	3.8892	21.9857	1.1882	7.2756	5.0779	107.5543	8.6361	50.5144
NODE_262_length_8617_cov_11.832399	8617	4.2458	29.6664	144.59	0.4616	1.7881	6.3222	76.1315	0.995	4.9714	0.6627	9.1423	2.1466	9.9902	2.7108	15.7071	0.4435	5.0016	1.5725	13.8351	1.3671	16.9489	3.0294	93.5695	1.572	15.0934
NODE_263_length_8612_cov_11.911534	8612	3.4559	28.708	95.7264	0.1777	0.569	6.9582	13.7439	0.4869	1.5906	1.2241	6.5776	0.5603	2.2842	0.6569	2.7892	0.1748	1.7857	0.5184	1.7315	0.496	3.1922	0.8648	7.1163	0.645	2.6947
NODE_264_length_8610_cov_13.481239	8610	3.8809	28.2946	124.971	0.4051	1.5948	7.1253	64.0037	0.6571	2.2322	1.8895	24.1108	1.2467	6.1984	1.3135	6.6893	0.6261	32.9666	0.9895	6.1256	0.8754	6.2703	1.6037	17.1188	1.5439	10.028
NODE_265_length_8610_cov_7.300760	8610	3.7117	13.8911	21.2331	2.1642	13.0846	2.4457	37.6473	0.5171	5.1974	3.3585	20.2617	2.8444	15.2722	3.0639	21.9234	4.0574	29.3699	6.3924	44.9969	4.4574	36.5334	0.3605	4.837	0.9878	3.3119
NODE_266_length_8489_cov_22.078966	8489	7.864	49.9481	273.3142	0.5376	2.0176	7.5838	18.215	0.9652	5.5771	6.4491	32.4705	6.5154	18.9807	5.0336	16.0008	0.6792	5.5803	4.5136	11.7788	1.1162	8.4659	2.2192	45.3525	8.8072	27.7618
NODE_267_length_8487_cov_6.284867	8487	13.9004	13.8107	25.009	2.1012	75.8631	39.1432	162.6167	0.5954	2.5132	5.2295	22.4038	33.0449	136.0798	17.2199	62.6044	21.2596	71.8882	27.5576	101.1646	5.9591	35.2904	0.2681	1.244	0.6162	2.2972
NODE_268_length_8477_cov_6.112325	8477	12.8807	12.3624	17.4418	1.5692	15.4271	37.0315	125.6124	0.3892	0.7477	6.8416	38.0043	28.9646	134.1759	17.3027	49.8513	18.4793	107.6198	24.8441	69.8679	6.1644	20.9937	0.1363	0.3032	0.4831	2.0614
NODE_269_length_8462_cov_5.161056	8462	12.2117	13.6831	20.4478	2.4673	5.8745	12.9451	56.6929	7.7389	19.8132	24.8272	97.7627	18.7048	45.2537	19.0853	38.0078	2.7049	9.6719	18.7948	33.3118	12.0997	26.4404	4.0089	10.9396	9.4805	21.3506
NODE_270_length_8446_cov_16.106662	8446	5.6386	35.8558	193.7193	0.5734	5.1013	6.6637	25.3109	1.0949	7.5019	3.9349	26.1392	4.3541	21.3967	3.9195	20.4798	0.369	6.4043	2.6589	16.4936	1.0286	9.7032	2.1936	48.9472	5.0163	32.592
NODE_271_length_8435_cov_12.984010	8435	4.2312	29.3096	143.2348	0.3661	1.7142	3.9928	19.5777	0.7384	3.2448	1.2893	11.082	3.1613	6.5607	3.4817	17.2765	0.2507	1.8315	1.2771	6.3018	0.7065	6.0799	1.7634	38.177	4.4369	15.5964
NODE_272_length_8430_cov_5.946030	8430	9.7372	14.2152	27.0239	1.6464	3.0111	6.1781	18.8984	5.5361	12.3922	17.9246	77.6228	18.0743	51.4651	16.6114	45.4967	1.6961	6.7073	14.6581	30.3601	9.1343	19.545	3.9681	8.2555	7.2039	11.0489
NODE_273_length_8427_cov_5.155518	8427	6.3513	11.7518	18.7386	1.7431	3.4118	3.957	27.6219	2.6202	6.8941	11.3177	74.9619	8.5529	31.9106	8.4688	27.5995	1.1166	4.8116	10.7787	42.0699	6.62	22.4316	2.8277	6.8744	6.4606	26.0293
NODE_274_length_8421_cov_5.127062	8421	14.2069	8.914	10.0907	0.7751	2.5917	25.5138	40.5026	0.1857	0.6436	12.4126	97.0806	6.7048	7.1617	0.1227	0.3589	93.7542	193.7249	8.7	10.2098	12.8631	64.5365	0.3021	1.386	0.2349	3.0223
NODE_275_length_8380_cov_7.711592	8380	2.7272	15.3169	49.5486	0.28	1.0136	3.8682	23.4422	0.8166	4.1967	1.6967	8.1192	2.4182	10.9115	1.5529	6.6461	0.2406	3.6174	1.3745	7.8053	0.7479	4.9041	1.9182	51.9752	2.4956	14.5208
NODE_276_length_8373_cov_5.773503	8373	11.6871	17.465	26.6667	3.6815	13.2273	10.7888	44.6028	5.7913	12.6633	23.2598	108.1118	18.9167	56.7553	16.355	31.0188	2.3651	11.4184	17.8954	36.9161	10.0101	19.009	3.463	10.5646	10.2532	24.4479
NODE_277_length_8340_cov_11.389378	8340	3.7251	28.1017	171.8115	0.4238	1.4353	7.014	22.3922	0.8376	3.7814	0.4652	4.9209	0.9271	4.5416	1.2636	7.5655	0.2988	1.8696	1.001	4.5788	0.7295	2.7366	2.5026	42.7539	1.1363	6.5107
NODE_278_length_8331_cov_6.568028	8331	5.8616	13.3669	27.1607	3.3176	9.4669	8.7733	31.3304	0.5053	2.7811	3.4194	14.8804	6.1604	24.2909	6.4086	28.6847	8.6328	65.0762	10.7222	51.6043	7.1171	35.4535	0.1602	0.4233	1.7549	6.0633
NODE_279_length_8300_cov_6.525167	8300	8.1129	12.5031	16.4559	4.841	14.8995	9.2383	26.3172	0.6772	12.5384	5.6708	21.5008	10.8044	39.6785	9.8574	28.0143	12.6758	80.8145	15.6756	74.0049	12.3912	63.9854	0.2613	1.9015	2.759	7.8703
NODE_280_length_8271_cov_17.043087	8271	5.6493	34.4206	137.4009	0.6052	2.5321	7.6636	28.1809	0.6124	2.7684	4.4848	21.3685	4.8095	14.6308	3.672	13.737	0.3624	1.9954	1.8994	8.388	0.701	6.065	1.8276	36.1107	6.7337	28.8353
NODE_281_length_8267_cov_19.680589	8267	6.6461	42.1926	275.4411	0.4982	2.6219	7.7675	17.6262	0.7578	4.1604	4.8118	35.3068	4.5996	15.5474	4.5066	22.8323	0.4201	3.2831	3.6066	16.1741	1.1278	11.641	2.3118	63.6217	7.1524	39.381
NODE_282_length_8227_cov_7.817915	8227	7.3073	14.6187	26.5363	2.1399	6.3388	6.1763	19.5861	0.1866	0.5131	6.1524	36.8219	9.7306	39.6699	11.1067	73.9631	8.8509	43.3376	13.777	68.8491	12.6464	60.6072	0.1342	0.403	2.1675	6.6122
NODE_283_length_8219_cov_16.482974	8219	5.0436	34.9999	176.9627	0.4247	1.4226	6.5971	16.5192	0.9541	4.5219	2.5068	14.6615	3.5073	16.186	2.3688	10.0928	0.2959	3.2057	2.1807	9.9366	0.9701	5.0518	2.2574	26.8067	3.46	20.9661
NODE_284_length_8195_cov_6.895700	8195	8.9581	13.1873	17.1204	4.7079	22.9137	7.6411	38.1684	0.4613	3.2423	7.9802	27.8553	13.2839	53.1601	12.1983	45.4755	13.6206	61.69	16.9526	58.9825	14.4501	45.703	0.2444	1.1384	2.769	9.1572
NODE_285_length_8166_cov_5.545186	8166	8.3359	10.3459	13.1965	0.3575	3.041	2.6608	7.4137	0.2399	0.5492	6.0534	39.6066	27.0055	75.2871	14.1633	32.7849	14.4737	52.3928	19.7018	45.0352	4.4576	20.6912	0.2539	1.1936	0.3175	0.8221
NODE_286_length_8154_cov_7.056550	8154	12.3795	18.1832	39.5946	3.9322	9.9875	13.3196	59.0292	5.9593	20.0221	23.1824	84.4913	19.8642	101.5639	15.4278	49.093	4.0942	1879.5438	18.8038	50.2779	11.1099	28.1296	4.4415	13.0208	10.2354	27.5502
NODE_287_length_8144_cov_9.174434	8144	3.0181	23.8883	124.2884	0.5512	2.9333	0.6425	8.4925	0.9819	4.6716	0.8024	8.8329	1.5088	4.9358	1.2893	9.9892	0.3864	3.3774	1.0746	7.2981	1.1055	7.0634	1.9901	27.8932	1.997	12.0573
NODE_288_length_8121_cov_4.297669	8121	12.6944	11.5716	18.3272	1.4107	10.9598	33.5968	127.069	0.4339	1.1895	8.3823	53.4683	29.1064	163.2664	16.8582	51.0635	20.297	122.1094	23.7517	86.1736	4.861	19.0321	0.7374	4.9058	1.3253	9.0253
NODE_289_length_8078_cov_12.476006	8078	3.6244	26.9808	139.3305	0.5151	2.161	2.2456	14.4767	0.866	4.8447	2.6502	15.6434	1.5826	6.5581	1.765	10.9957	0.2434	1.975	1.4571	10.6617	1.0421	7.5474	1.9997	28.5417	2.1452	14.4622
NODE_290_length_8072_cov_5.703630	8072	13.6283	13.2422	29.0441	0.9804	4.4633	37.2512	132.2976	0.4224	1.4386	7.7338	32.7254	34.9812	201.5311	16.344	46.7302	18.539	74.5634	27.3581	90.8053	5.9422	16.4314	0.1107	0.4371	0.6341	1.6498
NODE_291_length_8070_cov_4.725265	8070	5.4802	10.7505	16.7581	2.2371	5.1247	4.5742	47.9728	1.2938	4.7775	10.852	103.6154	7.2093	47.8754	5.4122	30.6477	0.8846	4.3223	9.2298	43.5691	5.5327	15.5138	3.5467	15.7685	4.2391	21.2051
NODE_292_length_8038_cov_6.106226	8038	10.4012	14.4256	21.9313	0.9588	2.3484	2.7352	7.3445	5.2563	8.7366	21.7879	65.5841	15.8328	20.0112	13.1954	21.3194	2.7083	6.5591	18.9194	45.0461	11.1981	22.6757	5.9142	11.3233	11.8824	35.8033
NODE_293_length_7990_cov_17.523882	7990	5.965	38.1909	193.6308	0.5691	2.1011	5.876	19.0638	0.9171	4.5833	5.6004	18.0425	5.1176	17.0294	3.3455	11.4523	0.4349	2.6839	2.8219	6.1056	0.9625	6.2471	1.8968	27.7438	5.8471	28.9011
NODE_294_length_7984_cov_8.026990	7984	8.139	15.689	27.7098	4.2309	12.1894	8.9082	41.9542	0.3261	1.4755	6.4456	38.8216	8.6107	25.1011	11.2256	45.0936	11.0108	53.7832	15.8841	79.4509	12.8718	85.6215	0.2386	1.9483	2.2267	7.0006
NODE_295_length_7981_cov_6.933258	7981	9.712	16.73	55.6536	1.4159	2.479	1.7115	3.9946	6.4526	17.1196	19.8202	95.8428	12.6722	29.5266	13.9249	31.3811	1.6177	4.8349	19.1998	40.8258	9.341	22.5417	4.4026	12.9552	9.2557	16.177
NODE_296_length_7974_cov_6.082712	7974	7.1868	11.6042	18.1464	3.7799	12.8001	5.0865	15.6214	0.2725	0.887	6.4066	30.2975	9.1024	64.3611	9.5415	64.0052	8.6713	57.8203	15.1107	117.5508	14.7687	110.2195	0.285	1.962	1.6129	3.5624
NODE_297_length_7955_cov_7.539494	7955	10.0771	15.0634	29.2703	7.3322	132.8162	9.1936	43.3507	0.5932	9.9353	9.0053	91.6213	12.9605	71.6543	13.3252	67.334	15.2315	363.0193	18.747	146.4284	16.5898	140.8278	0.4069	5.1017	2.4765	17.495
NODE_298_length_7948_cov_21.197263	7948	7.6179	48.3383	380.3116	0.7552	3.902	7.1418	19.097	0.9186	3.8037	6.8987	20.7936	6.203	13.4508	4.515	15.3023	0.5993	10.9217	4.6884	16.4626	1.1607	7.0396	2.1895	28.5551	8.0059	32.8113
NODE_299_length_7937_cov_8.204770	7937	12.1281	17.8052	46.8766	3.6354	9.6614	12.6385	72.1099	6.3589	18.2481	21.3515	102.1191	18.5205	70.9411	18.2888	78.7559	3.069	11.9496	18.3166	93.1743	10.3738	21.764	4.2663	21.4562	10.9122	36.5266
NODE_300_length_7905_cov_16.019490	7905	5.5945	34.7622	229.5808	0.3947	1.7012	7.2726	16.4973	0.9595	5.5256	1.4057	16.5112	5.0851	15.3464	3.5772	17.3888	0.3921	5.2203	3.8999	19.9461	1.0709	6.9552	2.1982	47.7955	6.1155	24.0068
NODE_301_length_7879_cov_5.532464	7879	12.8509	12.3214	15.1979	0.9375	12.6665	36.2267	58.5904	0.3509	0.8248	7.3575	39.0519	33.5953	197.242	16.5799	29.8449	17.0228	43.3877	23.3189	89.04	5.9363	11.4325	0.1502	0.6874	0.4131	3.0041
NODE_302_length_7878_cov_9.593762	7878	3.1127	24.4356	136.8596	0.5677	2.5133	0.5738	6.9566	0.9803	5.558	0.6298	10.7496	1.9093	7.3963	1.5459	8.7834	0.484	4.1488	1.234	9.6181	1.4054	16.2147	2.0572	22.6524	1.5292	8.8199
NODE_303_length_7851_cov_3.604156	7851	10.2286	9.3119	16.4367	1.7147	7.1115	19.8808	106.3582	0.7165	1.7486	11.62	59.3265	11.2088	31.099	9.662	24.3583	35.0257	503.8832	10.4411	17.1967	7.6506	17.718	2.3594	13.0453	3.151	4.8516
NODE_304_length_7844_cov_6.204262	7844	11.5795	16.8095	34.9287	4.9033	10.3216	11.1977	39.3894	5.7609	19.0594	20.2011	103.1889	18.1518	77.2269	18.7055	102.793	2.823	6.1785	18.8725	65.9358	9.0455	33.2783	4.3082	12.7797	8.1752	22.36
NODE_305_length_7826_cov_4.555913	7826	9.8413	10.818	17.2767	2.4277	29.3896	26.7246	293.995	0.6175	3.678	7.0137	47.0647	22.1308	196.0837	13.2206	67.3962	13.265	90.6889	16.913	127.6414	3.7095	12.8792	0.2879	1.7287	0.9678	5.708
NODE_306_length_7812_cov_17.313910	7812	6.347	38.7595	290.0335	0.2921	0.9195	7.0042	42.183	0.6855	2.8947	1.2563	7.0357	7.639	17.5726	5.2429	12.3131	0.4646	16.3219	2.8202	10.7211	0.8764	4.414	1.828	24.1939	9.2951	29.2184
NODE_307_length_7811_cov_19.107401	7811	5.2623	35.943	158.8896	0.4381	1.9754	4.849	18.0073	0.8832	5.1173	5.1993	35.3338	3.4945	13.0367	3.1042	13.2865	0.3477	2.7308	2.1483	7.3522	0.8877	9.7942	1.7526	28.5233	4.0996	18.1952
NODE_308_length_7784_cov_3.934532	7784	10.0325	8.2693	6.1782	0.6737	1.8211	19.4158	35.2079	0.1119	0.2909	6.735	35.4019	6.238	8.6061	0.1601	3.421	62.0924	384.169	8.0825	19.4626	8.0561	33.2902	0.2966	2.2341	0.259	0.6575
NODE_309_length_7764_cov_12.257102	7764	5.0733	31.1349	106.5042	0.5663	2.3074	4.8754	16.7935	1.4802	11.1649	3.4581	21.3154	4.1208	16.4373	2.8093	12.1509	0.6338	6.3777	2.1742	8.3558	1.1194	5.5348	2.7142	37.7701	5.7933	30.3779
NODE_310_length_7717_cov_19.486035	7717	7.4083	46.6078	323.0605	0.7313	3.0712	6.3273	16.8234	0.9437	3.8509	8.2022	51.6866	5.5145	17.193	4.8034	17.3755	0.7383	8.5252	3.4653	13.8711	1.4254	10.4184	2.4977	42.2167	7.6423	30.4072
NODE_311_length_7684_cov_11.811509	7684	3.7425	28.2805	108.479	0.6088	2.2122	1.8993	8.5085	0.7387	4.4055	2.2795	91.2515	1.5409	6.0046	1.6995	8.6366	0.3897	3.8569	1.8999	9.8217	1.0551	8.9956	2.2818	45.2896	2.2369	12.8799
NODE_312_length_7678_cov_10.288207	7678	3.3334	26.8228	134.2303	0.4311	2.1549	3.1286	29.3383	0.9235	4.4448	0.491	5.4217	1.5704	5.7705	1.6722	7.6991	0.2541	2.0727	0.8373	2.884	1.0292	8.09	1.8455	35.9266	0.9952	5.954
NODE_313_length_7672_cov_11.961402	7672	4.4447	31.4359	156.4988	0.2465	0.795	6.8947	28.3338	0.6756	2.2697	1.0227	7.3774	3.3098	8.9238	1.8588	7.6405	0.2132	1.4852	2.7175	6.6851	0.6327	2.7542	1.514	17.5111	2.8153	16.1354
NODE_314_length_7665_cov_27.944678	7665	6.4515	52.2334	181.2944	0.3807	1.5246	0.5683	17.1817	0.1854	0.5285	16.198	271.1205	0.2587	0.9365	0.6003	7.6068	2.5759	40.3329	0.5963	12.022	0.2076	0.571	0.8896	30.6801	2.7244	116.3269
NODE_315_length_7642_cov_7.517464	7642	6.9203	13.4214	33.0208	3.7894	37.4289	3.4167	9.7217	0.4608	15.4037	6.1446	23.4324	9.5597	32.9201	6.9047	22.2803	7.9972	44.1504	16.8923	51.3259	12.5505	42.1639	0.2851	1.6763	1.6216	3.1953
NODE_316_length_7627_cov_7.433043	7627	14.227	17.8122	31.4968	5.413	9.8821	15.5324	33.4263	7.6433	11.6281	25.9079	118.436	21.4927	50.7692	23.0127	69.0091	3.8783	10.0732	19.6136	37.0413	10.6412	18.5428	5.7726	12.2717	14.0037	27.2648
NODE_317_length_7615_cov_5.384392	7615	8.3451	12.8133	28.4359	2.9628	6.3831	7.202	52.5141	4.761	12.1631	16.8486	119.1405	12.6139	59.0155	11.1893	39.2325	2.3025	4.3257	13.9719	67.1067	6.9444	14.1519	1.6922	8.7225	6.8398	22.8846
NODE_318_length_7578_cov_20.010767	7578	7.0086	44.7861	273.9667	0.5112	1.6012	7.5669	22.9401	0.7632	4.708	6.2816	15.0832	4.8829	13.2756	4.4169	22.207	0.4797	3.4867	3.843	12.6615	1.1191	8.4599	1.9149	19.6214	7.5378	53.5616
NODE_319_length_7558_cov_6.101693	7558	12.8164	12.4449	24.9912	0.5964	1.9354	33.7117	92.1326	0.442	1.5263	4.9934	38.1778	36.3784	164.5549	16.5817	23.8251	18.4544	48.8614	25.6066	42.1568	4.0964	16.703	0.1505	0.3776	0.3411	0.9163
NODE_320_length_7550_cov_7.156905	7550	13.3503	15.8076	53.6964	5.4277	12.6762	15.1693	65.8998	6.9557	15.3634	23.3362	129.3993	23.0609	73.2312	21.2022	78.5951	2.2793	5.4685	19.4528	49.5893	11.5647	26.424	4.8369	22.8345	11.1105	44.3719
NODE_321_length_7539_cov_5.038883	7539	1.0832	10.1386	11.1565	0.1644	0.361	0.121	0.4775	0.2456	0.5781	0.326	11.9675	0.2718	0.6912	0.2826	0.9794	0.2653	14.8495	0.2433	0.9021	0.3268	1.634	0.399	1.8267	0.2142	0.7322
NODE_322_length_7522_cov_15.504219	7522	5.8906	37.186	201.2137	0.5007	2.7745	7.9324	20.514	0.9105	6.8958	2.6375	10.9545	4.3013	19.9265	4.0144	20.0489	0.4712	7.7679	2.8163	18.6451	1.3439	15.9714	2.7067	74.5896	5.8663	33.6009
NODE_323_length_7519_cov_4.309486	7519	13.5365	8.5064	8.9297	1.1729	3.8127	24.9862	48.28	0.2527	1.6517	11.1543	34.1164	6.068	12.9038	0.1709	0.589	84.4971	239.2356	9.2721	11.1891	15.4125	33.3594	0.3694	2.8217	0.5761	5.4405
NODE_324_length_7517_cov_7.893728	7517	2.7287	18.5659	69.1311	0.3776	1.6475	0.9465	4.8619	0.9681	3.5658	0.4838	15.4119	2.5253	5.841	1.6031	7.9937	0.3274	5.794	1.0578	5.4922	0.8868	5.2541	1.749	27.579	3.2532	13.1044
NODE_325_length_7517_cov_5.944251	7517	11.4795	15.2082	46.9857	5.6334	19.2379	11.91	55.3132	5.6411	13.5397	21.8303	127.6864	17.0099	69.6745	18.0608	84.0647	2.8668	8.6414	17.7435	52.7028	8.978	24.4451	3.7235	8.5533	9.1481	25.0643
NODE_326_length_7513_cov_18.037141	7513	6.2369	41.6108	276.2798	0.2969	0.9135	7.5505	13.1138	0.7625	4.7158	3.852	21.9213	4.339	12.5689	3.1396	11.6284	0.3231	2.5936	3.6177	14.5448	0.9185	5.6663	1.3189	20.3082	7.1133	41.7383
NODE_327_length_7484_cov_5.589985	7484	1.4416	11.3844	21.4984	0.2401	0.7135	0.5053	3.584	0.2925	1.3566	0.6726	21.33	0.3043	0.8644	0.3384	1.4693	1.1977	334.6976	0.2884	0.9703	0.3508	1.4518	0.7848	8.1727	0.9399	15.8577
NODE_328_length_7473_cov_16.355621	7473	5.6954	36.4564	194.687	0.6465	2.4512	6.3824	19.4312	0.7259	3.2899	4.4972	25.9632	4.6934	13.6912	3.3105	11.2166	0.5402	4.6286	1.9588	6.4463	1.0086	6.9208	1.848	22.3444	6.2772	23.5544
NODE_329_length_7472_cov_5.442227	7472	9.6436	14.2609	35.7074	3.3192	7.6953	9.875	46.0848	4.9096	12.9144	19.9777	88.8203	13.472	37.2262	12.9549	42.5394	2.1153	7.5037	13.6031	35.5234	9.0666	25.1673	4.4465	9.7565	7.7221	20.5468
NODE_330_length_7470_cov_14.107620	7470	3.5683	27.4018	186.5812	0.5758	2.1899	1.4036	10.6408	1.1402	5.7839	1.6104	11.4085	1.6167	7.0059	1.7053	12.571	0.3954	3.24	1.2969	8.6613	1.1119	10.1393	2.4027	41.321	2.1596	12.3634
NODE_331_length_7454_cov_6.783079	7454	1.7772	12.454	18.7132	0.6091	5.0959	0.4587	2.7218	0.858	10.0892	0.5838	6.9868	1.381	33.336	0.8016	9.1003	1.0045	14.659	1.455	19.1019	0.6836	5.6483	0.2812	1.5638	0.7559	7.1787
NODE_332_length_7405_cov_17.556871	7405	2.7005	30.054	72.7319	0.2052	0.6294	0.0758	0.2694	0.232	1.0638	0.1413	0.9868	0.2088	0.6196	0.2543	0.8219	0.0786	0.3605	0.2844	1.5868	0.2171	0.9081	0.3978	4.4643	0.2565	0.9068
