,contigName,contigLen,totalAvgDepth,scaffolds.fasta/DRR310871_R1.fastq.gz.bam,scaffolds.fasta/DRR310872_R1.fastq.gz.bam,scaffolds.fasta/DRR310873_R1.fastq.gz.bam,scaffolds.fasta/DRR310874_R1.fastq.gz.bam,scaffolds.fasta/DRR310875_R1.fastq.gz.bam,scaffolds.fasta/DRR310876_R1.fastq.gz.bam,scaffolds.fasta/DRR310877_R1.fastq.gz.bam,scaffolds.fasta/DRR310878_R1.fastq.gz.bam,scaffolds.fasta/DRR310879_R1.fastq.gz.bam,scaffolds.fasta/DRR310880_R1.fastq.gz.bam,scaffolds.fasta/DRR310881_R1.fastq.gz.bam,scaffolds.fasta/DRR310882_R1.fastq.gz.bam
439,NODE_440_length_5307_cov_4.789033,5307,1.5331,0.6401,0.4423,0.4188,0.7762,0.1943,0.5433,0.5523,0.1392,0.8842,3.1513,1.129,9.5267
440,NODE_441_length_5291_cov_4.790489,5291,1.4245,0.4069,0.3493,0.4598,0.4309,0.4567,0.7207,0.6182,0.1519,0.6845,2.7753,1.1276,8.9123
441,NODE_442_length_5283_cov_6.433244,5283,1.7055,0.4072,0.4054,0.2994,0.437,0.3686,0.488,0.6065,0.2229,0.4985,0.4561,0.8991,15.3772
446,NODE_447_length_5237_cov_5.992474,5237,1.5464,0.4399,0.3436,0.195,0.4403,0.2156,0.4747,0.3937,0.2428,0.7553,2.1278,0.8416,12.0865
448,NODE_449_length_5234_cov_6.845337,5234,1.5372,0.1983,0.1459,0.7292,0.3822,0.0374,0.4119,0.2382,0.0547,0.5647,1.8216,1.0344,12.8275
451,NODE_452_length_5215_cov_6.161628,5215,1.5251,0.4624,0.2215,0.4561,0.4904,0.1493,0.3917,0.385,0.1876,0.8924,2.5773,0.7708,11.3171
452,NODE_453_length_5210_cov_6.025800,5210,1.5664,0.5208,0.3229,0.3626,0.3929,0.1964,0.5142,0.5739,0.181,0.5105,2.6506,1.0449,11.5265
459,NODE_460_length_5175_cov_5.560937,5175,0.9894,0.3938,0.205,0.3532,0.2253,0.1288,0.3753,0.3461,0.2219,0.5584,0.4669,0.7168,7.8812
463,NODE_464_length_5155_cov_5.547843,5155,1.5858,0.4098,0.3706,0.5193,0.564,0.3532,0.5111,0.5712,0.1171,0.7181,3.5397,1.2114,10.1443
466,NODE_467_length_5148_cov_5.255252,5148,1.5159,0.6903,0.3587,0.4896,0.4766,0.2351,0.6615,0.6933,0.2747,0.8281,2.3301,0.9682,10.1851
467,NODE_468_length_5128_cov_6.284644,5128,1.5843,0.5528,0.2961,0.1683,0.3116,0.3405,0.5659,0.4723,0.1758,1.0675,2.0818,0.8094,12.1695
473,NODE_474_length_5086_cov_5.385212,5086,1.5254,0.5403,0.2846,0.5774,0.6128,0.1811,0.6501,0.5093,0.2206,0.6337,3.2073,1.0308,9.8572
474,NODE_475_length_5085_cov_6.780517,5085,1.5627,0.2148,0.2282,0.2363,0.5121,0.2101,0.5435,0.4648,0.1167,0.7378,2.7074,0.5056,12.2754
475,NODE_476_length_5080_cov_5.804975,5080,1.4473,0.3428,0.3706,0.2304,0.5118,0.5566,0.431,0.4734,0.0882,0.9884,2.0682,0.5722,10.7343
481,NODE_482_length_5024_cov_6.492856,5024,1.5458,0.4629,0.2782,0.2735,0.4163,0.1169,0.5819,0.4721,0.2511,0.7881,3.0706,0.7462,11.0919
482,NODE_483_length_5021_cov_4.956101,5021,1.3397,0.4051,0.2293,0.3363,0.5303,0.2082,0.5475,0.4841,0.195,0.4184,1.4937,0.6744,10.5545
484,NODE_485_length_5018_cov_5.994358,5018,1.4612,0.5737,0.2601,0.764,0.6039,0.2099,0.4258,0.5818,0.1859,0.5707,1.9392,0.7225,10.6974
485,NODE_486_length_5018_cov_5.701995,5018,1.457,0.3694,0.2256,0.3424,0.4953,0.2592,0.5548,0.629,0.2223,1.0479,2.0635,0.7796,10.4951
486,NODE_487_length_5015_cov_5.413710,5015,1.4851,0.5807,0.2088,0.4216,0.5196,0.4298,0.4335,0.5404,0.3714,0.5137,2.3357,0.8245,10.6411
487,NODE_488_length_5014_cov_5.439605,5014,1.497,0.5012,0.2837,0.104,0.4893,0.1184,0.4455,0.3273,0.1963,0.9301,3.2543,0.5419,10.7716
489,NODE_490_length_5006_cov_6.893153,5006,1.6875,0.4088,0.244,1.5029,0.6166,0.4998,0.7504,0.333,0.3554,0.6386,2.2438,0.7529,11.9038
492,NODE_493_length_4988_cov_6.746402,4988,1.4842,0.2875,0.2315,0.2069,0.4233,0.1021,0.402,0.3313,0.0521,0.6819,1.4471,1.0492,12.5949
493,NODE_494_length_4986_cov_6.186169,4986,1.5576,0.2196,0.2428,0.6106,0.4477,0.1373,0.4254,0.3395,0.3197,0.536,2.8809,0.8158,11.7159
495,NODE_496_length_4981_cov_4.996549,4981,1.4669,0.6059,0.2134,0.8696,0.4703,0.2972,0.5026,0.3815,0.3695,0.7771,2.8961,0.8131,9.4061
505,NODE_506_length_4926_cov_5.304866,4926,1.7836,0.5126,0.3256,1.5632,0.469,0.6646,1.1089,0.5165,0.3176,0.5333,3.4715,1.643,10.2778
506,NODE_507_length_4925_cov_5.342710,4925,1.5425,0.3902,0.3204,0.3414,0.7183,0.5254,0.5592,0.5479,0.2817,0.6658,1.9757,1.4524,10.7317
509,NODE_510_length_4899_cov_5.748142,4899,1.6661,0.4675,0.2727,0.3399,0.5083,0.3255,0.7444,0.474,0.1927,1.0301,3.8522,1.0545,10.7315
512,NODE_513_length_4891_cov_4.958437,4891,1.4081,0.3392,0.4003,0.2776,0.4185,0.2177,0.6193,0.5168,0.3122,0.6537,2.182,1.1103,9.8502
518,NODE_519_length_4856_cov_6.604666,4856,1.6232,0.2949,0.2641,1.5157,0.4658,0.1243,0.5053,0.4439,0.2926,0.7165,2.1186,0.7707,11.9658
521,NODE_522_length_4844_cov_5.295260,4844,1.2453,0.2514,0.1082,0.9233,0.2314,0.0256,0.3181,0.386,0.1091,0.2597,0.716,0.7936,10.8217
522,NODE_523_length_4842_cov_6.762273,4842,1.6489,0.574,0.2099,0.1976,0.4887,0.3549,0.4439,0.3619,0.2204,0.5725,2.2108,0.9026,13.2502
525,NODE_526_length_4827_cov_4.501886,4827,1.4251,0.7099,0.2656,0.3361,0.5249,0.2487,0.5345,0.7374,0.1689,0.7069,2.2266,1.4693,9.1719
529,NODE_530_length_4806_cov_6.260366,4806,1.7197,0.7425,0.3372,1.4018,0.2801,0.174,0.5142,0.4841,0.0992,0.3744,2.4107,1.6059,12.2124
531,NODE_532_length_4801_cov_4.684576,4801,1.3,0.2589,0.2107,0.3253,0.4287,0.3513,0.5227,0.5046,0.0589,0.6181,2.4231,1.1574,8.7407
534,NODE_535_length_4796_cov_6.343809,4796,1.6944,0.6313,0.2787,1.9488,0.3353,0.1132,0.3672,0.407,0.2897,0.5644,2.0357,1.3685,11.9925
546,NODE_547_length_4757_cov_4.513399,4757,1.3425,0.4248,0.333,0.2058,0.3977,0.2761,0.4293,0.4354,0.2857,0.4196,2.5151,0.7682,9.6193
550,NODE_551_length_4748_cov_4.890049,4748,1.2881,0.4432,0.2656,0.2244,0.4078,0.2871,0.3336,0.323,0.0929,0.5424,2.5602,0.5402,9.4367
554,NODE_555_length_4723_cov_5.631962,4723,1.4377,0.6468,0.2633,0.5126,0.6468,0.1791,0.4881,0.56,0.148,1.0118,1.3871,0.771,10.6372
558,NODE_559_length_4712_cov_4.975521,4712,1.533,0.5822,0.2946,0.5991,0.5427,0.1916,0.55,0.689,0.242,0.8687,2.6006,1.315,9.9202
562,NODE_563_length_4702_cov_8.364751,4702,1.8405,0.5817,0.4391,1.3179,0.6966,0.2746,0.7283,0.6929,0.2272,0.5716,0.6107,1.2331,14.7129
566,NODE_567_length_4689_cov_5.670263,4689,1.5301,0.6922,0.2796,0.228,0.5781,0.6354,0.5649,0.4041,0.1348,0.894,2.1862,0.9403,10.8235
567,NODE_568_length_4688_cov_5.168789,4688,1.6515,0.39,0.5344,0.4493,0.4557,0.3438,0.6463,0.6084,1.1424,0.8764,2.2285,1.3581,10.7849
568,NODE_569_length_4674_cov_5.785451,4674,1.4612,0.4567,0.2854,0.2336,0.5106,0.817,0.3627,0.4209,0.1136,0.3444,2.2955,0.7657,10.9288
569,NODE_570_length_4668_cov_6.445480,4668,1.7171,0.5925,0.2669,1.0901,0.456,0.2191,0.79,0.4546,0.1288,0.844,3.332,0.7178,11.7136
571,NODE_572_length_4659_cov_5.080582,4659,1.3156,0.503,0.3486,0.3209,0.6369,0.1388,0.3695,0.5225,0.7268,0.6154,1.5864,1.1235,8.8951
574,NODE_575_length_4654_cov_5.018482,4654,1.4275,0.7043,0.2453,0.2327,0.4873,0.6561,0.5284,0.7584,0.1612,0.8979,1.5619,1.1652,9.7307
577,NODE_578_length_4636_cov_6.381794,4636,1.5343,0.514,0.1603,0.5218,0.3,0.5918,0.4846,0.4062,0.1957,0.6277,1.7985,0.426,12.3843
582,NODE_583_length_4622_cov_4.867309,4622,1.1569,0.3318,0.2147,0.2878,0.3524,0.4204,0.4396,0.3772,0.2106,0.4088,0.3696,0.8924,9.5774
587,NODE_588_length_4599_cov_4.510343,4599,1.4084,0.4549,0.3648,0.6732,0.5804,0.2218,0.5981,0.5808,0.4196,0.6433,2.873,0.7537,8.7366
589,NODE_590_length_4589_cov_4.707102,4589,1.6041,0.4638,0.3285,0.2068,0.6049,1.0653,0.6535,0.6146,0.5028,1.2748,3.1755,0.7873,9.5711
590,NODE_591_length_4558_cov_5.855430,4558,1.5121,0.5454,0.2396,0.7343,0.5202,0.4868,0.5808,0.5944,0.3401,0.7164,1.5152,0.6828,11.1897
593,NODE_594_length_4546_cov_6.486751,4546,1.9864,0.783,0.4952,0.9568,0.6833,0.2907,0.9568,0.8731,0.3037,1.1274,3.6399,1.3692,12.3576
596,NODE_597_length_4531_cov_5.768543,4531,1.4494,0.315,0.2474,0.2903,0.5013,0.2136,0.5286,0.4625,0.2059,0.4944,2.4542,0.7208,10.9591
605,NODE_606_length_4500_cov_6.107987,4500,1.527,0.1871,0.2322,0.3379,0.3607,0.1503,0.4887,0.5494,0.1526,0.8011,2.9391,0.7851,11.3393
608,NODE_609_length_4488_cov_5.459508,4488,1.4368,0.3375,0.3972,0.4066,0.337,0.1065,0.5989,0.4657,0.1231,0.9707,2.0187,0.7379,10.7416
609,NODE_610_length_4487_cov_5.710966,4487,1.434,0.2635,0.2993,0.1503,0.3638,0.2605,0.493,0.4436,0.4531,0.5015,2.3334,0.8176,10.8282
610,NODE_611_length_4487_cov_5.213222,4487,1.4285,0.3814,0.2315,0.3166,0.4263,0.0719,0.5363,0.584,0.2006,1.0062,2.1902,0.7295,10.4671
612,NODE_613_length_4477_cov_5.235866,4477,1.6118,0.4719,0.4925,0.3157,0.4893,0.3737,0.508,0.6869,0.505,0.8519,3.2639,1.4044,9.979
614,NODE_615_length_4471_cov_5.150362,4471,1.5774,0.6151,0.2724,1.056,0.415,0.5575,0.7197,0.6202,0.3309,1.072,2.6522,1.0106,9.6066
615,NODE_616_length_4470_cov_6.113477,4470,1.6098,0.3565,0.2308,0.2188,0.4889,0.1968,0.4,0.481,0.3174,0.666,2.9567,0.9736,12.0317
616,NODE_617_length_4467_cov_6.172484,4467,1.5492,0.4258,0.438,0.3004,0.3889,0.0674,0.5868,0.6233,0.1464,0.8735,2.9134,1.7155,10.1114
620,NODE_621_length_4436_cov_5.873317,4436,1.2516,0.4358,0.2406,0.4244,0.4554,0.1195,0.434,0.2536,0.0649,0.4256,0.3278,1.3586,10.4795
622,NODE_623_length_4425_cov_6.503204,4425,1.9738,0.4751,0.3551,2.64,0.4414,0.2274,0.8007,0.604,0.2119,0.6133,3.6774,1.6386,12.0007
624,NODE_625_length_4409_cov_5.737712,4409,1.6595,0.4316,0.2526,0.5069,0.5607,0.3179,0.5342,0.4719,0.2066,0.8629,2.8328,1.4933,11.4428
631,NODE_632_length_4382_cov_5.218627,4382,1.5669,0.509,0.2904,0.4927,0.4565,0.2505,0.6134,0.6808,0.3414,0.7696,2.732,1.3948,10.2713
634,NODE_635_length_4354_cov_7.403350,4354,1.7644,0.4206,0.1791,0.9453,0.5576,0.1013,0.9291,0.4013,0.29,0.7429,3.1304,0.4967,12.9791
636,NODE_637_length_4344_cov_5.600373,4344,1.757,0.8033,0.2909,1.0229,0.5079,0.5987,0.7368,0.562,0.4814,1.2909,2.8233,1.1869,10.7792
639,NODE_640_length_4331_cov_4.596819,4331,1.3665,1.5403,0.1928,0.8778,0.2301,2.2081,0.3021,0.5307,0.3961,0.5417,0.4468,0.5755,8.5561
651,NODE_652_length_4287_cov_4.876418,4287,1.516,0.3759,0.4779,0.7324,0.4798,0.1832,0.6002,0.4714,0.2705,0.8622,3.0522,1.213,9.4735
655,NODE_656_length_4273_cov_7.153153,4273,1.4885,0.3265,0.2835,0.2777,0.5605,0.4099,0.4494,0.4325,0.2052,0.6498,1.7153,1.2062,11.3461
660,NODE_661_length_4248_cov_5.133079,4248,1.3814,0.633,0.3421,0.428,0.4754,0.2069,0.6057,0.7289,0.2992,0.5971,0.8499,0.991,10.4195
663,NODE_664_length_4238_cov_6.746593,4238,1.7758,0.5176,0.2383,0.4501,0.3799,0.3586,0.5186,0.4506,0.2295,0.6979,2.558,1.3273,13.5834
669,NODE_670_length_4221_cov_5.250360,4221,1.3717,0.5075,0.1506,0.3923,0.367,0.2356,0.2687,0.5004,0.3412,0.4694,2.6613,0.6387,9.9278
671,NODE_672_length_4218_cov_4.721595,4218,1.6872,0.7714,0.4169,0.4818,0.7741,0.2842,0.7593,0.8097,0.2328,1.3867,3.5472,1.0543,9.7281
674,NODE_675_length_4209_cov_5.778045,4209,1.4942,0.7164,0.3087,0.3141,0.506,0.4691,0.5176,0.7078,0.2439,0.7061,2.0456,0.9847,10.4102
680,NODE_681_length_4186_cov_5.128298,4186,1.2189,0.4284,0.2963,0.2287,0.3786,0.1442,0.5099,0.3318,0.222,0.6415,1.2882,0.444,9.7133
685,NODE_686_length_4166_cov_5.645342,4166,2.5222,0.4101,0.3083,0.1056,0.3319,0.0961,0.6992,1.8235,0.1868,0.7062,0.3499,9.2963,15.9522
689,NODE_690_length_4149_cov_4.899609,4149,1.1978,0.3993,0.1938,0.1175,0.4316,0.2693,0.4266,0.3418,0.0385,0.825,1.3318,0.4909,9.5076
690,NODE_691_length_4145_cov_5.977262,4145,1.4528,0.2924,0.2328,1.0874,0.3359,0.1792,0.5287,0.2571,0.2663,0.6521,1.8859,0.635,11.0806
691,NODE_692_length_4143_cov_5.923924,4143,1.616,0.5046,0.2675,1.6817,0.3321,0.1763,0.3819,0.4593,0.1593,0.7355,2.6709,0.5475,11.4756
694,NODE_695_length_4127_cov_4.940815,4127,1.4497,0.774,0.3078,0.7614,0.4863,0.5615,0.3915,0.3229,0.1624,0.4556,2.0538,1.0691,10.0498
696,NODE_697_length_4120_cov_5.215744,4120,1.4156,0.2088,0.264,0.2899,0.2781,0.0675,0.2469,0.3826,0.4559,0.4559,3.1927,0.7927,10.3519
698,NODE_699_length_4115_cov_5.738177,4115,1.5387,0.3672,0.2038,0.8013,0.5609,0.1629,0.37,0.5798,0.1175,0.6116,2.5082,0.8951,11.2855
700,NODE_701_length_4099_cov_5.886499,4099,1.8765,0.7918,0.373,1.5082,0.4918,0.2991,0.7182,0.7744,0.412,1.0355,3.5363,1.4345,11.1428
701,NODE_702_length_4096_cov_7.712200,4096,1.7913,0.6384,0.222,0.1723,0.3806,0.1138,0.6059,0.479,0.294,0.5768,2.3125,1.1726,14.5281
709,NODE_710_length_4077_cov_5.759075,4077,1.5688,0.5042,0.2806,2.8368,0.5381,0.2401,0.5174,0.7996,0.1752,0.5378,0.4683,0.9167,11.0107
710,NODE_711_length_4074_cov_6.844240,4074,1.6364,0.4365,0.2472,0.4422,0.4806,0.1213,0.5301,0.776,0.1814,0.9788,2.0008,0.9434,12.4982
714,NODE_715_length_4060_cov_5.080899,4060,1.4326,0.4486,0.3256,0.0824,0.6092,0.2616,0.6355,0.5974,0.1279,0.6852,2.1445,1.445,9.8284
716,NODE_717_length_4056_cov_5.513122,4056,1.8904,0.6464,0.3131,1.5904,0.3955,0.2714,0.672,0.5494,0.6313,0.6175,3.502,1.6976,11.7983
717,NODE_718_length_4056_cov_4.997001,4056,1.538,0.7542,0.2499,0.244,0.5755,0.151,0.4391,0.4296,0.342,0.7212,3.4219,1.0392,10.0881
729,NODE_730_length_4022_cov_6.105117,4022,1.7556,0.5189,0.3202,0.3908,0.6351,0.827,1.2291,0.8755,0.4279,0.5987,2.274,1.3192,11.6513
733,NODE_734_length_4011_cov_4.917088,4011,1.1216,0.3714,0.1393,0.6527,0.3375,0.1818,0.4222,0.3331,0.0295,0.2789,0.1668,0.3414,10.2051
734,NODE_735_length_4001_cov_4.823112,4001,1.6255,1.1083,0.6123,0.5162,0.6881,0.6185,0.6271,0.5593,0.3937,1.0865,2.1148,1.2952,9.8857
736,NODE_737_length_3997_cov_5.499493,3997,1.4219,0.7411,0.4695,0.2417,0.4918,0.3099,0.7481,0.62,0.2111,0.7401,0.9548,0.8433,10.6912
737,NODE_738_length_3996_cov_5.990865,3996,1.4662,0.6066,0.4249,0.3391,0.5224,0.1186,0.5161,0.5333,0.3682,0.8783,1.5502,0.9457,10.7907
739,NODE_740_length_3992_cov_6.236982,3992,1.5595,0.3069,0.5213,0.6817,0.3821,0.5992,0.3925,0.5219,0.1603,0.8306,2.4396,1.2723,10.6059
742,NODE_743_length_3983_cov_5.988035,3983,1.681,0.4767,0.4696,0.2598,0.5878,0.2758,0.6235,0.7422,0.2578,0.8069,2.4712,1.2799,11.9207
743,NODE_744_length_3980_cov_6.711338,3980,1.4107,0.4483,0.283,0.254,0.4397,0.653,0.7462,0.576,0.1841,0.423,0.3175,0.8008,11.8034
745,NODE_746_length_3974_cov_6.732075,3974,1.6498,0.5664,0.2662,0.2228,0.8509,0.494,0.4383,0.5847,0.1561,0.7275,3.2398,0.7416,11.5089
746,NODE_747_length_3971_cov_5.188458,3971,1.3806,0.8055,0.3206,0.4658,0.5386,0.3465,0.6271,0.53,0.3612,0.8901,1.1005,0.9089,9.6723
749,NODE_750_length_3964_cov_5.971604,3964,1.5913,0.2897,0.3367,1.1133,0.5302,0.4929,0.7318,0.5485,0.1725,0.9263,1.1615,1.0202,11.7716
751,NODE_752_length_3961_cov_4.791603,3961,1.396,0.4191,0.2955,0.6111,0.7589,0.2149,0.583,0.6935,0.0724,0.7959,2.2314,1.2527,8.8231
752,NODE_753_length_3945_cov_5.187661,3945,1.7167,0.6938,0.4108,1.3982,0.4972,0.3299,0.5789,0.8395,0.2783,1.1428,2.5781,1.0443,10.809
753,NODE_754_length_3943_cov_5.107767,3943,1.3818,0.4946,0.2684,0.6227,0.5228,0.328,0.4289,0.5104,0.2995,0.7126,1.9322,0.8674,9.594
754,NODE_755_length_3942_cov_4.965269,3942,1.2965,0.2838,0.1377,0.8929,0.2951,0.3386,0.3389,0.2977,0.1698,0.6321,1.5912,0.7489,9.8307
755,NODE_756_length_3940_cov_6.896525,3940,2.14,0.6248,0.3517,0.8908,0.4132,0.2807,0.662,0.6216,0.2338,1.3401,4.7195,1.3739,14.1681
756,NODE_757_length_3939_cov_4.048404,3939,1.3018,0.3249,0.2776,0.455,0.4146,0.9454,0.3233,0.5519,0.0813,0.7461,1.6149,1.4906,8.3961
759,NODE_760_length_3932_cov_5.277534,3932,1.291,0.4987,0.1732,0.1719,0.1967,0.1158,0.3932,0.445,0.2459,0.8109,1.692,0.7731,9.9757
763,NODE_764_length_3917_cov_5.219834,3917,1.4811,0.8519,0.2793,0.1694,0.4173,0.2641,0.5877,0.6299,0.317,0.5591,1.9166,1.1649,10.6164
768,NODE_769_length_3905_cov_6.653506,3905,1.4835,0.2959,0.2093,0.849,0.2162,0.3435,0.6613,0.4549,0.282,0.4623,0.8977,0.813,12.3172
781,NODE_782_length_3875_cov_5.406806,3875,1.4243,0.4736,0.2719,0.4926,0.5707,0.1262,0.5533,0.6223,0.1238,0.9197,1.6999,0.9093,10.3278
782,NODE_783_length_3872_cov_5.200943,3872,1.2207,0.2386,0.2622,0.1268,0.3361,0.1999,0.3756,0.274,0.0204,0.4562,1.518,0.2969,10.5438
785,NODE_786_length_3864_cov_5.456025,3864,1.5145,0.5092,0.3616,1.1747,0.5967,0.6484,0.5409,0.4394,0.2041,0.5024,1.4472,1.0293,10.7197
787,NODE_788_length_3852_cov_5.229655,3852,1.2952,0.2734,0.1359,0.2577,0.3776,0.1642,0.5883,0.3417,0.2653,0.6402,1.2642,1.0351,10.1994
789,NODE_790_length_3847_cov_5.499209,3847,1.6005,0.9662,0.3765,0.3224,0.2705,0.1704,0.5875,0.6781,0.1826,1.0687,2.5623,1.059,10.9619
792,NODE_793_length_3845_cov_6.336148,3845,1.4891,0.138,0.2655,0.1502,0.2625,0.144,0.2793,0.2355,0.0982,0.5153,3.8861,0.2842,11.6106
795,NODE_796_length_3830_cov_5.500397,3830,1.3978,0.394,0.3041,0.1878,0.4467,0.2367,0.3649,0.3446,0.056,0.4772,1.8712,0.8356,11.2546
796,NODE_797_length_3827_cov_6.126193,3827,1.5509,0.3941,0.2747,0.7408,0.5064,0.2948,0.4194,0.5597,0.2701,0.9888,2.1969,1.0538,10.9113
799,NODE_800_length_3820_cov_4.336786,3820,1.4634,0.4433,0.355,0.6834,0.5264,0.2005,0.9172,0.6886,0.23,0.7267,2.648,1.2708,8.8703
803,NODE_804_length_3811_cov_4.366880,3811,1.4195,0.6236,0.3267,1.6684,0.3616,0.3862,0.5337,0.4933,0.1874,0.652,2.6495,0.5583,8.5927
804,NODE_805_length_3809_cov_7.468833,3809,1.9518,0.4302,0.4165,0.2454,0.7775,0.51,0.5865,0.5105,1.7592,0.7674,2.6037,1.4187,13.3957
809,NODE_810_length_3786_cov_5.342536,3786,1.2245,0.6062,0.2869,0.3567,0.4439,0.1488,0.5272,0.4563,0.0869,0.6689,0.5976,0.7316,9.783
816,NODE_817_length_3775_cov_5.967742,3775,1.5466,0.373,0.2629,0.8212,0.533,0.216,0.7501,0.6701,0.1054,0.9801,2.4359,1.0455,10.3658
819,NODE_820_length_3772_cov_5.747915,3772,1.5314,0.3782,0.2292,0.3537,0.3633,0.5756,0.3788,0.5668,0.3468,0.8548,2.2225,0.8915,11.2159
827,NODE_828_length_3741_cov_7.380358,3741,1.6259,0.3562,0.3021,0.978,0.555,0.0952,0.5082,0.4503,0.0847,0.709,1.5185,0.946,13.0075
828,NODE_829_length_3740_cov_5.691723,3740,1.5443,0.3649,0.5006,0.2421,0.6354,0.6655,0.3788,0.3033,0.2287,0.5997,2.3788,0.9521,11.2816
830,NODE_831_length_3734_cov_5.463441,3734,1.4759,0.9417,0.2785,0.2821,0.6069,0.861,0.5723,0.4849,0.2076,0.5857,1.1498,0.8281,10.9121
834,NODE_835_length_3728_cov_7.622380,3728,1.938,0.5738,0.2331,0.8273,0.5615,0.1867,0.5257,0.5674,0.2845,0.7577,4.0484,0.948,13.7423
841,NODE_842_length_3713_cov_8.038546,3713,1.59,0.4698,0.201,0.2739,0.5044,0.2262,0.824,0.4392,0.1819,0.8611,0.9972,0.5189,13.5829
848,NODE_849_length_3704_cov_5.644834,3704,1.6121,0.359,0.2577,0.2769,0.5912,1.1728,0.623,0.5793,0.2243,0.7873,2.7493,1.036,10.688
850,NODE_851_length_3696_cov_5.363362,3696,1.5468,0.2507,0.2651,0.9303,0.434,0.1393,0.5733,0.3875,0.2578,1.1199,2.3432,0.9137,10.9464
851,NODE_852_length_3695_cov_5.173077,3695,1.6787,0.6824,0.2663,0.7684,0.4638,0.547,0.5044,0.5109,0.6485,0.8353,3.2039,1.4922,10.222
855,NODE_856_length_3687_cov_6.514868,3687,1.5983,0.4755,0.1736,1.2528,0.3466,0.1612,0.6146,0.2494,0.1521,0.901,1.8937,1.0266,11.933
856,NODE_857_length_3684_cov_5.508129,3684,1.4048,0.6344,0.2929,0.2196,0.3217,0.1061,0.438,0.4711,0.4369,0.9383,1.6497,1.0948,10.2541
857,NODE_858_length_3681_cov_3.478213,3681,1.088,0.2424,0.2203,0.175,0.4477,0.1858,0.4095,0.367,0.3008,0.5021,0.3316,0.8006,9.0731
858,NODE_859_length_3680_cov_5.411862,3680,1.478,0.4431,0.3547,1.0785,0.2524,0.3575,0.528,0.2935,0.1884,0.6431,3.2181,0.604,9.7748
860,NODE_861_length_3675_cov_6.638950,3675,1.5075,0.3478,0.1884,0.3279,0.5739,0.097,0.3892,0.2956,0.1532,0.3852,2.4879,0.695,12.1492
866,NODE_867_length_3656_cov_4.973618,3656,1.6347,0.4575,0.2684,0.5642,0.6486,0.4558,0.8423,0.9116,0.5687,1.2096,1.9201,1.1255,10.644
868,NODE_869_length_3653_cov_5.161757,3653,1.467,0.2526,0.2569,0.4453,0.4396,0.6549,0.5966,0.3585,0.6503,1.1896,2.6597,0.9341,9.1661
870,NODE_871_length_3651_cov_5.175751,3651,1.9614,1.2285,0.2302,3.5161,0.4901,0.3273,1.4262,0.8506,0.393,1.2536,1.8606,1.8786,10.082
871,NODE_872_length_3651_cov_4.875417,3651,1.4055,0.3091,0.2705,0.1937,0.3773,0.1554,0.3685,0.4439,0.1657,0.8252,2.7529,0.6641,10.3393
875,NODE_876_length_3636_cov_5.349344,3636,1.3489,0.3368,0.2263,0.2281,0.6239,0.1672,0.4937,0.5863,0.109,0.8721,0.6609,1.0849,10.798
877,NODE_878_length_3633_cov_5.198714,3633,1.5092,0.6698,0.2033,0.3129,0.449,0.1987,0.4878,0.4358,0.1338,0.7339,2.9007,0.94,10.6451
880,NODE_881_length_3625_cov_4.859944,3625,1.5532,0.4268,0.4386,0.1632,0.5361,0.4656,1.103,0.8498,0.2296,0.537,2.5729,1.4383,9.8771
881,NODE_882_length_3625_cov_4.353221,3625,1.3808,0.5683,0.3459,0.3212,0.7312,0.4558,0.7047,0.6334,0.0786,0.6446,2.1013,1.1145,8.8702
883,NODE_884_length_3619_cov_4.590067,3619,1.2221,0.3327,0.26,0.3765,0.5016,0.2759,0.5301,0.3915,0.1747,0.8022,1.5679,0.708,8.744
885,NODE_886_length_3615_cov_6.010112,3615,1.4867,0.3111,0.2283,0.2003,0.4153,0.198,0.2257,0.314,0.2707,0.3925,3.3833,0.37,11.5313
886,NODE_887_length_3612_cov_5.241496,3612,1.4768,0.7568,0.1623,0.5,0.4142,0.2262,0.498,0.5786,0.0959,0.5627,2.5641,1.3252,10.0376
887,NODE_888_length_3596_cov_6.075967,3596,1.4326,0.4304,0.2655,0.1117,0.4666,0.0784,0.4544,0.5447,0.238,0.6785,2.0575,0.7536,11.112
889,NODE_890_length_3590_cov_6.021782,3590,1.527,0.4779,0.3047,0.6302,0.5689,0.3413,0.5134,0.5299,0.2855,0.6453,3.2631,0.6634,10.1006
895,NODE_896_length_3578_cov_5.074652,3578,1.4527,0.7141,0.2086,0.624,0.3518,0.3536,0.4977,0.3046,0.252,0.7246,2.7395,0.7497,9.9125
899,NODE_900_length_3563_cov_5.887685,3563,1.3226,0.5693,0.3211,0.2936,0.3832,0.5133,0.4908,0.5045,0.0779,0.4588,0.6493,0.4793,11.1295
900,NODE_901_length_3563_cov_5.170182,3563,1.3828,0.4202,0.3516,0.295,0.6815,0.3258,0.6956,0.4035,0.3047,0.9602,1.6774,1.1023,9.3753
901,NODE_902_length_3559_cov_6.339326,3559,1.5769,0.159,0.2593,0.1062,0.3368,0.1769,0.3863,0.4623,0.1344,0.4966,0.6474,0.6571,15.1009
902,NODE_903_length_3558_cov_4.827862,3558,1.2907,0.2647,0.2488,0.2612,0.3498,0.2494,0.6696,0.3762,0.0692,0.588,2.6966,0.7479,8.9671
